KarlsruheGameday;Date;Weekday;HomeTeam;AwayTeam
1.;02.08.24;20:30;(Fr);FC Koln;Hamburg;1;2
1.;03.08.24;13:00;(Sa);Magdeburg;Elversberg;0;0
1.;03.08.24;13:00;(Sa);Hannover;Regensburg;2;0
1.;03.08.24;13:00;(Sa);Hertha;Paderborn;1;2
1.;03.08.24;13:00;(Sa);Karlsruhe;Nurnberg;3;2
1.;03.08.24;20:30;(Sa);Schalke 04;Braunschweig;5;1
1.;04.08.24;13:30;(So);Greuther Furth;Preußen Münster;3;1
1.;04.08.24;13:30;(So);Ulm;Kaiserslautern;1;2
1.;04.08.24;13:30;(So);Darmstadt;FFortuna Dusseldorf;0;2
2.;09.08.24;18:30;(Fr);Kaiserslautern;Greuther Furth;2;2
2.;09.08.24;18:30;(Fr);Regensburg;Ulm;1;0
2.;10.08.24;13:00;(Sa);Nurnberg;Schalke 04;3;1
2.;10.08.24;13:00;(Sa);FFortuna Dusseldorf;Karlsruhe;0;0
2.;10.08.24;13:00;(Sa);Elversberg;FC Koln;2;2
2.;10.08.24;20:30;(Sa);Hamburg;Hertha;1;1
2.;11.08.24;13:30;(So);Braunschweig;Magdeburg;1;3
2.;11.08.24;13:30;(So);Preußen Münster;Hannover;0;0
2.;11.08.24;13:30;(So);Paderborn;Darmstadt;3;1
3.;23.08.24;18:30;(Fr);Hannover;Hamburg;1;0
3.;23.08.24;18:30;(Fr);Karlsruhe;Elversberg;3;2
3.;24.08.24;13:00;(Sa);Hertha;Regensburg;2;0
3.;24.08.24;13:00;(Sa);Preußen Münster;Kaiserslautern;0;1
3.;24.08.24;13:00;(Sa);Greuther Furth;Paderborn;1;1
3.;24.08.24;20:30;(Sa);FC Koln;Braunschweig;5;0
3.;25.08.24;13:30;(So);Magdeburg;Schalke 04;2;2
3.;25.08.24;13:30;(So);Ulm;FFortuna Dusseldorf;1;2
3.;25.08.24;13:30;(So);Darmstadt;Nurnberg;1;1
4.;30.08.24;18:30;(Fr);FFortuna Dusseldorf;Hannover;1;0
4.;30.08.24;18:30;(Fr);Regensburg;Greuther Furth;0;4
4.;31.08.24;13:00;(Sa);Nurnberg;Magdeburg;0;4
4.;31.08.24;13:00;(Sa);Hamburg;Preußen Münster;4;1
4.;31.08.24;13:00;(Sa);Elversberg;Darmstadt;4;0
4.;31.08.24;20:30;(Sa);Kaiserslautern;Hertha;3;4
4.;01.09.24;13:30;(So);Braunschweig;Karlsruhe;1;2
4.;01.09.24;13:30;(So);Schalke 04;FC Koln;1;3
4.;01.09.24;13:30;(So);Paderborn;Ulm;0;0
5.;13.09.24;18:30;(Fr);Karlsruhe;Schalke 04;2;0
5.;13.09.24;18:30;(Fr);Preußen Münster;Paderborn;3;3
5.;14.09.24;13:00;(Sa);Hannover;Kaiserslautern;3;1
5.;14.09.24;13:00;(Sa);Ulm;Nurnberg;1;2
5.;14.09.24;13:00;(Sa);Darmstadt;Braunschweig;1;1
5.;14.09.24;20:30;(Sa);FC Koln;Magdeburg;1;2
5.;15.09.24;13:30;(So);Hamburg;Regensburg;5;0
5.;15.09.24;13:30;(So);Hertha;FFortuna Dusseldorf;0;2
5.;15.09.24;13:30;(So);Greuther Furth;Elversberg;0;0
6.;20.09.24;18:30;(Fr);Schalke 04;Darmstadt;3;5
6.;20.09.24;18:30;(Fr);Paderborn;Hannover;2;1
